MD,TVD,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,BDTI,ROPA
269.001,269.00260125,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.02599999999995,269.0262336,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.1009999999999,269.1106632,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.12599999999986,269.1374856,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.15099999999984,269.1499824,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.25099999999975,269.2554432,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.2759999999997,269.292324,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.3259999999997,269.3362152,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.35099999999966,269.3569416,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.4009999999996,269.4105864,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.4259999999996,269.440914,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.45099999999957,269.4602688,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.5009999999995,269.522448,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.5259999999995,269.5446984,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.57599999999945,269.5946856,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.60099999999943,269.6050488,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.6509999999994,269.667228,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.67599999999936,269.690088,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.7259999999993,269.7470856,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.7509999999993,269.76049680000006,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.80099999999925,269.812008,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.8259999999992,269.8327344,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.8509999999992,269.853156,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.8759999999992,269.8868364,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.90099999999916,269.91564,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.9509999999991,269.9564832,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
269.9759999999991,269.9775144,93.0,3.854527263,3115.820067,1.279999963,1.159999914,93.91586158,0.010000513,6544.999694,3523.600098,12.20999996
270.00099999999907,269.9899902,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.050999999999,270.0560004,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.075999999999,270.0811464,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.100999999999,270.1222944,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.1759999999989,270.1844736,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.2009999999989,270.2042856,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.22599999999886,270.23628959999996,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.25099999999884,270.2670744,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.3009999999988,270.308832,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.35099999999875,270.36354359999996,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.3759999999987,270.3914328,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.5009999999986,270.51213359999997,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.55099999999857,270.5566344,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.6009999999985,270.6191184,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
270.6259999999985,270.6398448,94.0,4.313399448,3156.100099,1.279999963,1.159999914,93.45699257,0.010000513,6604.00009,3752.97998,15.51000037
