,name,min_depth,max_depth,sum
0,S_F4,269.001,1360.8759999990068,10894
1,S_F5,2931.018,3792.193000003133,7081
2,S_F7,309.055,914.8549999994492,6703
3,S_F9,160.127,633.5020000001077,5208
4,S_F9A,489.509,1205.9839999993485,7242
5,S_F10,164.327,5310.902000001171,43893
6,S_F12,197.151,3205.101000000684,19998
7,S_F14,147.292,3466.0170000007547,35118
8,S_F15A,2471.928,3232.028000002765,6706
